0,54,180,40,130,67,68,120,12,120,
1,16,30,160,150,157,177,120,6,120,
2,44,130,40,90,55,43,75,9,75,
3,24,170,50,40,47,38,60,6,60,
4,7,100,160,180,166,161,100,12,100,
5,33,60,90,40,75,83,80,11,80,
6,39,60,100,160,118,134,90,11,90,
7,23,140,60,60,60,79,70,11,70,
8,82,160,20,110,47,36,50,5,50,
9,25,110,160,90,139,145,110,12,110,
10,85,120,110,180,131,133,150,9,150,
11,17,180,180,20,132,156,80,10,80,
12,38,160,100,130,109,129,140,11,140,
13,29,20,70,30,58,69,501[D,None,501[D,
14,50,60,70,80,73,76,75,8,75,3,141.0,100.0,68.0,
15,78,160,70,90,76,68,100,10,100,
16,49,120,100,90,97,98,100,13,100,
17,67,130,80,150,101,116,95,11,95,
18,83,170,140,180,152,144,150,11,150,
19,1,20,130,130,130,120,90,13,90,
20,36,140,90,160,111,115,100,10,100,
21,66,130,20,90,41,26,50,12,50,
22,86,100,30,90,48,32,35,12,35,
23,41,170,170,90,146,142,150,11,150,
24,68,60,120,30,93,103,100,10,100,
25,18,40,50,90,62,73,60,13,60,
26,5,50,30,150,66,71,45,14,45,
27,55,180,150,120,141,150,130,12,130,
28,40,60,30,160,69,73,50,13,50,
29,51,20,120,120,120,105,120,12,120,3,157.0,87.0,66.0,
30,43,30,110,170,128,102,100,10,100,
31,10,150,130,120,127,133,,None,,
32,35,80,160,140,154,197,120,14,120,
33,75,90,120,20,90,90,80,10,80,
34,8,110,180,100,156,162,110,11,110,
35,3,160,60,80,66,78,72,12,72,
36,30,160,170,20,125,128,130,12,130,
37,21,160,180,140,168,165,180,12,180,
38,56,30,90,140,105,102,70,13,70,
39,28,20,40,30,37,31,25,11,25,
40,13,70,180,80,150,166,120,12,120,
41,47,160,50,30,44,35,50,9,50,
42,77,20,90,150,108,113,80,12,80,
43,74,40,60,130,81,57,80,11,80,
44,2,150,130,30,100,119,100,10,100,3,154.0,93.0,61.0,
45,48,50,30,70,42,30,55,13,55,
46,61,110,100,90,97,97,105,12,105,
47,6,170,80,70,77,63,85,11,85,
48,65,30,30,180,75,96,45,11,45,
49,87,180,110,120,113,108,125,13,125,
50,59,120,100,30,79,81,85,12,85,
51,57,150,140,50,113,128,110,13,110,
52,26,70,40,40,40,52,,None,,
53,12,130,30,130,60,50,65,10,65,
54,71,70,20,140,56,55,45,12,45,
55,34,80,160,150,157,185,135,14,135,
56,88,100,140,100,128,143,145,13,145,
57,14,90,170,80,143,153,95,10,95,
58,89,40,20,100,44,42,43,11,43,
59,62,120,70,170,100,115,102,11,102,3,150.0,89.0,70.0,
60,15,130,120,160,132,130,135,8,135,
61,60,140,40,120,64,79,75,13,75,
62,46,90,70,50,64,65,52,11,52,
63,22,70,110,120,113,118,5,14,5,
64,69,20,120,100,114,103,105,3,105,
65,76,110,160,20,118,131,82,11,82,
66,19,80,120,90,111,89,91,11,91,
67,58,30,70,160,97,88,63,10,63,
68,63,50,30,140,63,57,68,11,68,
69,42,60,120,140,126,121,115,3,115,
70,27,80,90,170,114,98,101,12,101,
71,31,180,160,70,133,142,155,9,155,
72,52,70,50,130,74,68,78,11,78,
73,73,60,110,140,119,130,108,12,108,
74,20,90,90,90,90,91,90,13,90,3,145.0,95.0,72.0,
